ticker,import_dependency_ratio,gross_margin,revenue,affected_region_revenue_share,gross_margin_norm,gross_margin_vulnerability,import_dependency_norm,revenue_exposure_norm,tariff_pressure_score,risk_bucket
MMM,0.6,0.33212677497214504,18565000000.0,0.0,0.368390335377721,0.6316096646222791,0.6666666666666665,0.0,43.28,Medium
ADBE,0.2,0.8904333605887162,15899000000.0,10.0,1.0,0.0,0.0,0.11363636363636363,3.79,Low
AMD,0.75,0.4878358250124124,18127000000.0,0.0,0.5445432653417767,0.45545673465822334,0.9166666666666666,0.0,45.74,Medium
AMZN,0.6,0.006490924479137742,450167000000.0,0.0,0.0,1.0,0.6666666666666665,0.0,55.56,Medium
AAPL,0.75,0.4688254223652454,124300000000.0,15.0,0.5230368845294289,0.47696311547057113,0.9166666666666666,0.17045454545454544,52.14,Medium
APTV,0.7,0.06497365932729975,14806000000.0,74.0,0.06616124813008996,0.93383875186991,0.8333333333333331,0.8409090909090909,86.94,High
BBY,0.7,0.7309822538713688,8847000000.0,20.0,0.8196136985807286,0.18038630141927137,0.8333333333333331,0.22727272727272727,41.37,Medium
BLDR,0.55,0.32979409048483066,12580186000.0,0.0,0.3657513801788044,0.6342486198211956,0.5833333333333333,0.0,40.59,Medium
CAT,0.65,0.0765732394945878,48594000000.0,16.0,0.07928379965996142,0.9207162003400385,0.7499999999999999,0.18181818181818182,61.75,Medium
CDW,0.65,0.21799566171495063,15812700000.0,0.0,0.2392743334811381,0.7607256665188619,0.7499999999999999,0.0,50.36,Medium
CSCO,0.5,0.6550732969244035,27832000000.0,68.2,0.7337382457842129,0.2662617542157871,0.4999999999999999,0.775,51.38,Medium
CL,0.5,0.6056347321192926,15156000000.0,88.0,0.6778086254995473,0.32219137450045265,0.4999999999999999,1.0,60.74,Medium
COST,0.45,0.13080540858318637,125874000000.0,0.0,0.14063640235577277,0.8593635976442272,0.41666666666666663,0.0,42.53,Medium
DE,0.55,0.17736248236953456,8508000000.0,50.0,0.19330620514435243,0.8066937948556476,0.5833333333333333,0.5681818181818182,65.27,Medium
DELL,0.75,0.21737673795298454,71636000000.0,0.0,0.23857414788456227,0.7614258521154378,0.9166666666666666,0.0,55.94,Medium
HD,0.6,0.33614890242884565,119810000000.0,0.0,0.37294054961384576,0.6270594503861542,0.6666666666666665,0.0,43.12,Medium
HPQ,0.75,0.2103080568720379,13504000000.0,0.0,0.23057738158826652,0.7694226184117334,0.9166666666666666,0.0,56.2,Medium
KMB,0.5,0.3813872923391859,12701000000.0,52.0,0.4241185314171,0.5758814685829,0.4999999999999999,0.5909090909090909,55.56,Medium
LOW,0.6,0.3344594594594595,65120000000.0,0.0,0.37102929057663764,0.6289707094233623,0.6666666666666665,0.0,43.19,Medium
NKE,0.8,0.44463935179384373,23943000000.0,8.0,0.49567529447176656,0.5043247055282334,1.0,0.09090909090909091,53.17,Medium
PG,0.5,0.33212677497214504,43619000000.0,0.0,0.368390335377721,0.6316096646222791,0.4999999999999999,0.0,37.72,Medium
TGT,0.45,0.1962697122311668,75651000000.0,0.0,0.214695867060401,0.785304132939599,0.41666666666666663,0.0,40.07,Medium
WMT,0.45,0.33212677497214504,495708000000.0,0.0,0.368390335377721,0.6316096646222791,0.41666666666666663,0.0,34.94,Medium
